,magnitude,depth
0,4.6,10.0
1,3.77,136.0
2,4.6,10.0
3,4.7,10.0
4,5.1,10.0
5,4.9,10.0
6,4.6,10.0
7,5.1,10.0
8,3.19,15.0
9,2.63,10.21
10,3.15,14.0
11,4.7,10.0
12,4.3,150.89
13,4.0,10.0
14,2.73,45.85
15,4.5,10.0
16,5.0,10.0
17,3.08,8.0
18,4.5,10.0
19,4.7,248.65
20,4.9,35.0
21,5.1,10.0
22,4.6,10.0
23,5.0,10.0
24,4.7,10.0
25,4.23,26.32
26,5.1,10.0
27,4.3,76.56
28,2.6,7.1
29,4.3,148.63
30,3.0,5.0
31,2.81,5.0
32,2.59,6.0
33,4.8,6.95
34,5.0,552.59
35,2.85,16.95
36,4.7,10.0
37,5.8,488.06
38,5.1,10.0
39,4.6,517.13
40,4.2,10.0
41,2.69,7.0
42,5.1,67.36
43,4.1,168.07
44,4.5,10.0
45,4.3,28.7
46,4.12,114.0
47,2.7,6.979931641
48,4.5,10.0
49,4.5,25.31
50,4.2,10.0
51,4.1,264.67
52,2.6,36.29
53,2.6,9.5
54,4.4,10.0
55,4.9,10.0
56,2.78,4.18
57,4.3,455.27
58,2.97,8.0
59,5.1,10.0
60,4.2,10.0
61,2.7,17.55
62,4.3,35.0
63,5.1,10.0
64,4.7,78.84
65,5.1,19.38
66,4.2,40.44
67,5.4,10.0
68,3.9,89.16
69,4.8,10.0
70,4.9,10.0
71,3.0,63.1
72,4.7,211.49
73,2.7,20.5
74,3.14,7.0
75,4.4,417.52
76,4.6,10.0
77,4.6,600.77
78,5.1,114.7
79,4.6,243.23
80,5.0,10.0
81,2.61,4.3
82,2.53,10.28
83,4.9,10.0
84,4.6,10.0
85,4.8,10.0
86,3.29,8.06
87,3.7,30.88
88,4.6,77.63
89,3.27,31.0
90,4.9,10.0
91,2.73,33.09
92,2.62,33.35
93,5.3,10.0
94,4.5,83.17
95,2.46000004,36.0
96,2.9,6.2
97,3.3,10.0
98,2.82,12.0
99,4.8,23.0
100,4.8,10.0
101,4.6,203.78
102,2.72,6.0
103,4.3,100.52
104,4.1,10.0
105,4.6,10.0
106,4.6,282.89
107,3.21,-1.36
108,5.1,10.0
109,4.9,70.27
110,2.51,4.0
111,5.0,10.0
112,2.7,186.5
113,2.53,1.68
114,5.2,10.0
115,2.8,89.3
116,4.5,575.78
117,5.1,10.0
118,2.5,6.74855957
119,2.9,9.0
120,4.4,10.0
121,4.3,10.0
122,5.0,10.0
123,3.8,69.49
124,5.0,10.0
125,2.67,8.0
126,2.5,6.054443359000001
127,4.6,59.19
128,4.4,10.0
129,3.3,63.8
130,5.5,10.0
131,2.9,0.0
132,5.2,102.46
133,2.7,37.2
134,4.9,10.0
135,4.2,121.9
136,5.4,10.0
137,4.8,10.0
138,4.5,74.36
139,4.8,168.16
140,3.15,6.0
141,2.93,25.0
142,2.5,25.0
143,4.8,10.0
144,5.0,10.0
145,4.9,10.0
146,2.52,5.0
147,3.15,10.47
148,5.0,10.0
149,2.97,5.0
150,2.6,67.8
151,5.0,10.0
152,2.89,15.0
153,4.5,10.0
154,3.06,4.0
155,4.9,10.0
156,4.3,10.0
157,4.9,10.0
158,4.9,10.0
159,4.7,10.0
160,5.2,10.0
161,5.8,10.0
162,3.6,22.0
163,5.2,10.0
164,5.2,10.0
165,5.3,10.0
166,2.48,1.2
167,4.9,10.0
168,3.44,115.0
169,4.8,225.17
170,2.47,16.0
171,4.4,524.27
172,2.7,12.4
173,5.2,10.0
174,2.65,7.0
175,4.7,10.0
176,4.7,36.05
177,2.58,9.34
178,4.6,467.75
179,3.57,51.0
180,5.0,10.0
181,3.39,46.0
182,4.6,10.0
183,2.64,7.41
184,4.6,10.0
185,5.4,10.0
186,2.68,10.26
187,2.6,10.0
188,4.9,10.0
189,4.5,51.76
190,4.0,135.79
191,4.8,10.0
192,4.2,60.46
193,4.0,135.66
194,5.4,10.0
195,5.2,10.0
196,2.9,65.9
197,5.1,10.0
198,2.85,11.0
199,5.1,10.0
200,2.81,14.0
201,3.2,39.5
202,5.0,10.0
203,5.2,10.0
204,4.8,187.41
205,5.4,10.0
206,4.7,35.0
207,4.9,10.0
208,5.1,10.0
209,4.5,10.0
210,4.4,10.0
211,2.48,6.03
212,5.0,10.0
213,2.48,35.48
214,2.5,7.2
215,2.62,10.0
216,5.6,10.0
217,4.7,127.73
218,5.2,10.0
219,2.74,12.0
220,4.1,10.0
221,5.5,10.0
222,4.2,54.25
223,5.0,10.0
224,4.4,10.0
225,4.4,10.0
226,4.5,10.0
227,4.0,10.0
228,3.2,19.0
229,5.2,10.0
230,5.2,10.0
231,5.4,10.0
232,5.0,10.0
233,4.9,10.0
234,5.2,85.99
235,4.7,10.0
236,5.0,10.0
237,5.2,10.0
238,5.0,10.0
239,4.3,10.0
240,5.0,10.0
241,5.5,10.0
242,5.2,10.0
243,4.7,10.0
244,5.2,10.0
245,5.2,10.0
246,4.7,10.0
247,4.7,10.0
248,3.24,-3.35
249,5.1,10.0
250,5.3,18.91
251,4.9,10.0
252,4.1,237.6
253,4.9,10.0
254,2.9,0.0
255,5.1,10.0
256,4.9,10.0
257,4.4,6.56
258,5.7,10.0
259,5.1,28.52
260,2.9,5.0
261,5.1,10.0
262,2.49,12.0
263,5.5,13.52
264,5.2,10.0
265,4.6,10.0
266,4.9,10.0
267,2.72,8.0
268,5.2,10.0
269,4.7,10.0
270,5.6,10.0
271,5.2,10.0
272,4.4,10.0
273,4.6,102.91
274,4.9,10.0
275,4.7,10.0
276,4.3,211.53
277,4.9,10.0
278,4.6,10.0
279,5.0,10.0
280,6.1,10.0
281,5.4,10.0
282,4.4,42.65
283,4.9,10.0
284,2.6,8.2
285,2.6,102.2
286,5.3,10.0
287,5.4,10.0
288,6.2,10.0
289,4.7,10.0
290,5.7,10.0
291,4.3,494.01
292,2.46,13.0
293,5.0,10.0
294,4.9,10.0
295,3.4,124.8
296,4.5,10.0
297,5.1,10.0
298,4.6,10.0
299,5.5,10.0
300,6.1,10.29
301,5.6,10.0
302,4.8,10.0
303,5.8,10.0
304,2.85,7.44
305,5.5,10.0
306,2.5,10.0
307,5.3,59.17
308,4.5,10.0
309,4.9,10.0
310,4.4,10.0
311,2.8,8.8
312,4.5,35.0
313,4.9,10.0
314,5.5,10.0
315,5.1,10.0
316,4.3,10.0
317,3.4,10.0
318,2.48,34.02
319,5.1,10.0
320,4.3,65.85
321,2.69,0.96
322,4.3,10.0
323,4.5,10.0
324,4.3,143.96
325,5.0,10.0
326,3.4,31.4
327,5.0,10.0
328,5.2,10.0
329,2.58,6.44
330,6.3,13.0
331,4.7,50.89
332,5.1,10.0
333,5.0,10.0
334,5.6,10.0
335,4.8,10.0
336,5.1,10.0
337,5.1,10.0
338,5.1,10.0
339,4.2,10.0
340,2.8,6.4
341,5.3,10.0
342,5.3,10.0
343,5.1,10.0
344,5.0,10.0
345,5.9,11.0
346,5.3,10.0
347,4.9,10.0
348,5.0,10.0
349,5.7,8.0
350,5.7,10.0
351,5.6,10.0
352,5.5,16.0
353,4.6,53.26
354,3.26,6.77
355,2.96,5.0
356,5.2,10.0
357,4.6,10.0
358,4.7,10.0
359,2.5,5.0
360,4.8,10.0
361,5.0,10.0
362,5.0,10.0
363,5.0,10.0
364,5.0,10.0
365,6.2,10.0
366,4.2,126.93
367,4.6,10.0
368,4.7,10.0
369,2.86,2.61
370,5.1,10.0
371,2.7,10.0
372,4.9,10.0
373,4.5,10.0
374,5.0,10.0
375,4.7,10.0
376,5.3,10.0
377,3.0,10.0
378,2.7,9.8
379,4.9,10.0
380,4.4,10.0
381,2.71,11.0
382,3.54,7.83
383,2.65,8.0
384,5.9,15.0
385,5.1,10.0
386,2.8,0.1
387,5.6,17.97
388,5.4,10.0
389,3.74,64.0
390,4.9,10.0
391,5.0,10.0
392,4.6,64.41
393,5.1,10.0
394,5.0,10.0
395,2.98,1.69
396,2.6,10.5
397,2.6,119.4
398,4.9,10.0
399,4.7,10.0
400,5.0,10.0
401,5.1,10.0
402,5.3,10.0
403,5.3,10.0
404,5.1,10.0
405,5.2,10.0
406,5.6,10.0
407,5.6,10.0
408,5.6,10.0
409,5.4,10.0
410,5.3,10.0
411,6.3,17.0
412,2.7,1.7
413,2.61,19.33
414,5.1,10.0
415,5.2,10.0
416,3.0,10.0
417,5.3,10.0
418,5.3,10.0
419,4.9,10.0
420,5.0,10.0
421,5.6,10.0
422,5.2,10.0
423,5.2,10.0
424,2.7,9.67
425,5.9,10.0
426,5.5,10.0
427,3.8,31.64
428,5.3,10.0
429,5.1,10.0
430,5.6,10.0
431,5.5,10.0
432,6.1,10.0
433,5.4,10.0
434,2.82,9.0
435,5.6,10.0
436,2.99,21.78
437,3.8,32.99
438,5.4,10.0
439,5.8,10.0
440,5.2,10.0
441,5.7,10.0
442,5.1,10.0
443,5.5,10.0
444,5.4,10.0
445,5.1,10.0
446,5.1,10.0
447,5.6,10.0
448,6.1,10.0
449,5.5,10.0
450,4.6,10.0
451,2.9,10.0
452,5.7,10.0
453,8.1,26.45
454,5.5,10.0
455,4.9,10.0
456,5.1,27.05
457,5.0,10.0
458,5.8,10.0
459,2.9,0.9
460,5.2,36.87
461,5.6,10.0
462,7.4,53.09
463,4.4,10.0
464,4.7,108.43
465,4.6,10.0
466,2.88,20.53
467,6.1,173.3
468,2.5,12.52
469,4.7,10.0
470,4.6,71.5
471,3.09,10.6
472,5.0,10.0
473,5.3,10.0
474,5.4,5.57
475,4.9,10.0
476,4.5,10.0
477,5.1,10.0
478,4.7,10.0
479,4.6,10.0
480,4.6,10.0
481,5.6,10.0
482,5.0,10.0
483,2.59,-0.76
484,4.3,35.0
485,7.3,20.78
486,2.91,20.0
487,2.63,12.0
